discipline,performance,wind,competitor,date_of_birth,country,venue,gender,date,year,record_type,is_indoor,pending_ratification,mixed_gender_race,women_only_race,venue_country,venue_city,venue_country_official_name,venue_country_region,venue_country_subregion,venue_country_latitude,venue_country_longitude,comp_country_official_name,comp_country_region,comp_country_subregion,comp_country_latitude,comp_country_longitude
5000 Metres,15:08.06,,Genzebe DIBABA,1991-02-08,ETH,"Croix-Bleue Medavie Stadium, Moncton (CAN)",M,2010-07-21,2010,World U20 Championships Records,False,False,False,False,CAN,"Croix-Bleue Medavie Stadium, Moncton",Canada,Americas,North America,60.0,-95.0,Federal Democratic Republic of Ethiopia,Africa,Eastern Africa,8.0,38.0
High Jump,2.05,,Chaunte LOWE,1984-01-12,USA,"Drake Stadium, Des Moines, IA (USA)",M,2010-06-26,2010,Nacac Records,False,False,False,False,USA,"Drake Stadium, Des Moines, IA",United States of America,Americas,North America,38.0,-97.0,United States of America,Americas,North America,38.0,-97.0
100 Yards,9.07,-0.5,Asafa POWELL,1982-11-23,JAM,"Mestský Stadion, Ostrava (CZE)",W,2010-05-27,2010,World Best Performances,False,False,False,False,CZE,"Mestský Stadion, Ostrava",Czech Republic,Europe,Central Europe,49.75,15.5,Jamaica,Americas,Caribbean,18.25,-77.5
2000 Metres Steeplechase,5:10.68,,Mahiedine MEKHISSI,1985-03-15,FRA,Reims (FRA),W,2010-06-30,2010,World Best Performances,False,False,False,False,FRA,Reims,French Republic,Europe,Western Europe,46.0,2.0,French Republic,Europe,Western Europe,46.0,2.0
100 Yards,9.07,-0.5,Asafa POWELL,1982-11-23,JAM,"Mestský Stadion, Ostrava (CZE)",M,2010-05-27,2010,World Best Performances,False,False,False,False,CZE,"Mestský Stadion, Ostrava",Czech Republic,Europe,Central Europe,49.75,15.5,Jamaica,Americas,Caribbean,18.25,-77.5
Javelin Throw (700g),89.34,,Braian TOLEDO,1993-09-08,ARG,Mar del Plata (ARG),M,2010-03-06,2010,U18 World Best Performances,False,False,False,False,ARG,Mar del Plata,Argentine Republic,Americas,South America,-34.0,-64.0,Argentine Republic,Americas,South America,-34.0,-64.0
5000 Metres,15:08.06,,Genzebe DIBABA,1991-02-08,ETH,"Croix-Bleue Medavie Stadium, Moncton (CAN)",W,2010-07-21,2010,World U20 Championships Records,False,False,False,False,CAN,"Croix-Bleue Medavie Stadium, Moncton",Canada,Americas,North America,60.0,-95.0,Federal Democratic Republic of Ethiopia,Africa,Eastern Africa,8.0,38.0
Heptathlon Short Track,5911,,Larbi BOURRADA,1988-05-10,ALG,Paris (FRA) (i),W,2010-02-28,2010,African Records,True,False,False,False,FRA,Paris,French Republic,Europe,Western Europe,46.0,2.0,People's Democratic Republic of Algeria,Africa,Northern Africa,28.0,3.0
10 Kilometres Race Walk,37:44,,Zhen WANG,1991-08-24,CHN,Beijing (CHN),M,2010-09-18,2010,World U20 Records,False,False,False,False,CHN,Beijing,People's Republic of China,Asia,Eastern Asia,35.0,105.0,People's Republic of China,Asia,Eastern Asia,35.0,105.0
20 Kilometres Road,55:21,,Zersenay TADESE,1982-01-01,ERI,Lisboa (POR),W,2010-03-21,2010,World Best Performances,False,False,False,False,POR,Lisboa,Portuguese Republic,Europe,Southern Europe,39.5,-8.0,State of Eritrea,Africa,Eastern Africa,15.0,39.0
2000 Metres Steeplechase,5:10.68,,Mahiedine MEKHISSI,1985-03-15,FRA,Reims (FRA),M,2010-06-30,2010,World Best Performances,False,False,False,False,FRA,Reims,French Republic,Europe,Western Europe,46.0,2.0,French Republic,Europe,Western Europe,46.0,2.0
20 Kilometres Road,55:21,,Zersenay TADESE,1982-01-01,ERI,Lisboa (POR),M,2010-03-21,2010,World Best Performances,False,False,False,False,POR,Lisboa,Portuguese Republic,Europe,Southern Europe,39.5,-8.0,State of Eritrea,Africa,Eastern Africa,15.0,39.0
Triple Jump,15.25,+1.7,Olga RYPAKOVA,1984-11-30,KAZ,"Poljud Stadion, Split (CRO)",M,2010-09-04,2010,Asian Records,False,False,False,False,CRO,"Poljud Stadion, Split",Republic of Croatia,Europe,Southeast Europe,45.16666666,15.5,Republic of Kazakhstan,Asia,Central Asia,48.0196,66.9237
