discipline,performance,wind,competitor,date_of_birth,country,venue,gender,date,year,record_type,is_indoor,pending_ratification,mixed_gender_race,women_only_race,venue_country,venue_city,venue_country_official_name,venue_country_region,venue_country_subregion,venue_country_latitude,venue_country_longitude,comp_country_official_name,comp_country_region,comp_country_subregion,comp_country_latitude,comp_country_longitude
4x800 Metres Relay Short Track,8:48.6h,,Ricker CO,,JPN,Tokyo (JPN) (i),M,1961-03-19,1961,Asian Records,True,False,False,False,JPN,Tokyo,Japan,Asia,Eastern Asia,36.0,138.0,Japan,Asia,Eastern Asia,36.0,138.0
4x800 Metres Relay Short Track,8:48.6h,,Ricker CO,,JPN,Tokyo (JPN) (i),W,1961-03-19,1961,Asian Records,True,False,False,False,JPN,Tokyo,Japan,Asia,Eastern Asia,36.0,138.0,Japan,Asia,Eastern Asia,36.0,138.0
4x800 Metres Relay,7:47.3h,,Esporte Clube Pinheiros,,BRA,São Paulo (BRA),M,1965-04-21,1965,South American Records,False,False,False,False,BRA,São Paulo,Federative Republic of Brazil,Americas,South America,-10.0,-55.0,Federative Republic of Brazil,Americas,South America,-10.0,-55.0
4x800 Metres Relay,7:47.3h,,Esporte Clube Pinheiros,,BRA,São Paulo (BRA),W,1965-04-21,1965,South American Records,False,False,False,False,BRA,São Paulo,Federative Republic of Brazil,Americas,South America,-10.0,-55.0,Federative Republic of Brazil,Americas,South America,-10.0,-55.0
50 Metres,6.3h,,Pamela KILBORN,1939-08-12,AUS,Toronto (CAN) (i),W,1965-01-29,1965,Oceanian Records,True,False,False,False,CAN,Toronto,Canada,Americas,North America,60.0,-95.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
50 Metres,6.3h,,Pamela KILBORN,1939-08-12,AUS,Toronto (CAN) (i),M,1965-01-29,1965,Oceanian Records,True,False,False,False,CAN,Toronto,Canada,Americas,North America,60.0,-95.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
200 Metres,20.06,+0.9,Peter NORMAN,1942-06-15,AUS,"Estadio Olímpico, Ciudad de México (MEX)",W,1968-10-16,1968,Oceanian Records,False,False,False,False,MEX,"Estadio Olímpico, Ciudad de México",United Mexican States,Americas,North America,23.0,-102.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
200 Metres,20.06,+0.9,Peter NORMAN,1942-06-15,AUS,"Estadio Olímpico, Ciudad de México (MEX)",M,1968-10-16,1968,Oceanian Records,False,False,False,False,MEX,"Estadio Olímpico, Ciudad de México",United Mexican States,Americas,North America,23.0,-102.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
Long Jump,8.90,+2.0,Bob BEAMON,1946-08-29,USA,"Estadio Olímpico, Ciudad de México (MEX)",W,1968-10-18,1968,Olympic Games Records,False,False,False,False,MEX,"Estadio Olímpico, Ciudad de México",United Mexican States,Americas,North America,23.0,-102.0,United States of America,Americas,North America,38.0,-97.0
Long Jump,8.90,+2.0,Bob BEAMON,1946-08-29,USA,"Estadio Olímpico, Ciudad de México (MEX)",M,1968-10-18,1968,Olympic Games Records,False,False,False,False,MEX,"Estadio Olímpico, Ciudad de México",United Mexican States,Americas,North America,23.0,-102.0,United States of America,Americas,North America,38.0,-97.0
Shot Put,19.17,,Edy HUBACHER,1940-04-15,SUI,Bern (SUI),W,1969-10-05,1969,Combined Best Performances,False,False,False,False,SUI,Bern,Swiss Confederation,Europe,Western Europe,47.0,8.0,Swiss Confederation,Europe,Western Europe,47.0,8.0
Shot Put,19.17,,Edy HUBACHER,1940-04-15,SUI,Bern (SUI),M,1969-10-05,1969,Combined Best Performances,False,False,False,False,SUI,Bern,Swiss Confederation,Europe,Western Europe,47.0,8.0,Swiss Confederation,Europe,Western Europe,47.0,8.0
"25,000 Metres",1:16:29.0h,,Jack FOSTER,1932-05-23,NZL,Hamilton (NZL),W,1971-08-14,1971,Oceanian Records,False,False,False,False,NZL,Hamilton,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
"25,000 Metres",1:16:29.0h,,Jack FOSTER,1932-05-23,NZL,Hamilton (NZL),M,1971-08-14,1971,Oceanian Records,False,False,False,False,NZL,Hamilton,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
4x800 Metres Relay Short Track,7:17.8h,,Soviet Union,,URS,"Festivalna, Sofia (BUL) (i)",W,1971-03-14,1971,European Records,True,False,False,False,BUL,"Festivalna, Sofia",Republic of Bulgaria,Europe,Southeast Europe,43.0,25.0,,,,,
4x800 Metres Relay Short Track,7:17.8h,,Soviet Union,,URS,"Festivalna, Sofia (BUL) (i)",M,1971-03-14,1971,European Records,True,False,False,False,BUL,"Festivalna, Sofia",Republic of Bulgaria,Europe,Southeast Europe,43.0,25.0,,,,,
"30,000 Metres",1:32:18.6h,,Jack FOSTER,1932-05-23,NZL,Hamilton (NZL),M,1971-08-14,1971,Oceanian Records,False,False,False,False,NZL,Hamilton,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
"30,000 Metres",1:32:18.6h,,Jack FOSTER,1932-05-23,NZL,Hamilton (NZL),W,1971-08-14,1971,Oceanian Records,False,False,False,False,NZL,Hamilton,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
One Hour,20129,,Victor MORA,1944-11-24,COL,Essen (GER),M,1973-08-15,1973,South American Records,False,False,False,False,GER,Essen,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,Republic of Colombia,Americas,South America,4.0,-72.0
One Hour,20129,,Victor MORA,1944-11-24,COL,Essen (GER),W,1973-08-15,1973,South American Records,False,False,False,False,GER,Essen,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,Republic of Colombia,Americas,South America,4.0,-72.0
1000 Metres,2:13.9h,,Rick WOHLHUTER,1948-12-23,USA,Oslo (NOR),W,1974-07-30,1974,Nacac Records,False,False,False,False,NOR,Oslo,Kingdom of Norway,Europe,Northern Europe,62.0,10.0,United States of America,Americas,North America,38.0,-97.0
1000 Metres,2:13.9h,,Rick WOHLHUTER,1948-12-23,USA,Oslo (NOR),M,1974-07-30,1974,Nacac Records,False,False,False,False,NOR,Oslo,Kingdom of Norway,Europe,Northern Europe,62.0,10.0,United States of America,Americas,North America,38.0,-97.0
4x200 Metres Relay,1:32.6h,,Australia / New Zealand,,AUS,Brisbane (AUS),W,1976-01-25,1976,Oceanian Records,False,False,False,False,AUS,Brisbane,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
"20,000 Metres",1:02:17.8h,,Eloy SCHLEDER,1951-07-26,BRA,São Paulo (BRA),M,1976-11-27,1976,South American Records,False,False,False,False,BRA,São Paulo,Federative Republic of Brazil,Americas,South America,-10.0,-55.0,Federative Republic of Brazil,Americas,South America,-10.0,-55.0
"20,000 Metres",1:02:17.8h,,Eloy SCHLEDER,1951-07-26,BRA,São Paulo (BRA),W,1976-11-27,1976,South American Records,False,False,False,False,BRA,São Paulo,Federative Republic of Brazil,Americas,South America,-10.0,-55.0,Federative Republic of Brazil,Americas,South America,-10.0,-55.0
4x200 Metres Relay,1:32.6h,,Australia / New Zealand,,AUS,Brisbane (AUS),M,1976-01-25,1976,Oceanian Records,False,False,False,False,AUS,Brisbane,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
100 Metres,10.88,+2.0,Marlies OELSNER,1958-03-21,GDR,Dresden (GER),W,1977-07-01,1977,World U20 Records,False,False,False,False,GER,Dresden,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,,,,,
4x1500 Metres Relay,14:38.8h,,Federal Republic of Germany,,FRG,Köln (GER),W,1977-08-17,1977,European Records,False,False,False,False,GER,Köln,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,,,,,
4x1500 Metres Relay,14:38.8h,,Federal Republic of Germany,,FRG,Köln (GER),M,1977-08-17,1977,European Records,False,False,False,False,GER,Köln,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,,,,,
Shot Put,20.79,,Eva WILMS,1952-07-28,FRG,Hannover (GER),M,1977-08-28,1977,Combined Best Performances,False,False,False,False,GER,Hannover,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,,,,,
100 Metres,10.88,+2.0,Marlies OELSNER,1958-03-21,GDR,Dresden (GER),M,1977-07-01,1977,World U20 Records,False,False,False,False,GER,Dresden,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,,,,,
Shot Put,20.79,,Eva WILMS,1952-07-28,FRG,Hannover (GER),W,1977-08-28,1977,Combined Best Performances,False,False,False,False,GER,Hannover,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,,,,,
200 Metres,19.72,+1.8,Pietro MENNEA,1952-06-28,ITA,Ciudad de México (MEX),W,1979-09-12,1979,European Records,False,False,False,False,MEX,Ciudad de México,United Mexican States,Americas,North America,23.0,-102.0,Italian Republic,Europe,Southern Europe,42.83333333,12.83333333
200 Metres,19.72,+1.8,Pietro MENNEA,1952-06-28,ITA,Ciudad de México (MEX),M,1979-09-12,1979,European Records,False,False,False,False,MEX,Ciudad de México,United Mexican States,Americas,North America,23.0,-102.0,Italian Republic,Europe,Southern Europe,42.83333333,12.83333333
Shot Put,22.41,,Ilona SLUPIANEK,1956-09-24,GDR,"Lenin Stadium, Moskva (URS)",M,1980-07-24,1980,Olympic Games Records,False,False,False,False,URS,"Lenin Stadium, Moskva",,,,,,,,,,
Shot Put,22.41,,Ilona SLUPIANEK,1956-09-24,GDR,"Lenin Stadium, Moskva (URS)",W,1980-07-24,1980,Olympic Games Records,False,False,False,False,URS,"Lenin Stadium, Moskva",,,,,,,,,,
800 Metres,1:53.43,,Nadezhda OLIZARENKO,1953-11-28,URS,"Lenin Stadium, Moskva (URS)",W,1980-07-27,1980,Olympic Games Records,False,False,False,False,URS,"Lenin Stadium, Moskva",,,,,,,,,,
1500 Metres,3:58.7h,,Robert BAKER,1955-11-01,USA,"Austin, TX (USA)",W,1980-04-03,1980,Combined Best Performances,False,False,False,False,USA,"Austin, TX",United States of America,Americas,North America,38.0,-97.0,United States of America,Americas,North America,38.0,-97.0
4x200 Metres Relay,1:28.15,,German Democratic Republic,,GDR,Jena (GDR),W,1980-08-09,1980,European Records,False,False,False,False,GDR,Jena,,,,,,,,,,
4x200 Metres Relay,1:28.15,,German Democratic Republic,,GDR,Jena (GDR),M,1980-08-09,1980,European Records,False,False,False,False,GDR,Jena,,,,,,,,,,
1500 Metres,3:58.7h,,Robert BAKER,1955-11-01,USA,"Austin, TX (USA)",M,1980-04-03,1980,Combined Best Performances,False,False,False,False,USA,"Austin, TX",United States of America,Americas,North America,38.0,-97.0,United States of America,Americas,North America,38.0,-97.0
800 Metres,1:53.43,,Nadezhda OLIZARENKO,1953-11-28,URS,"Lenin Stadium, Moskva (URS)",M,1980-07-27,1980,Olympic Games Records,False,False,False,False,URS,"Lenin Stadium, Moskva",,,,,,,,,,
"25,000 Metres",1:13:55.8h,,Toshihiko SEKO,1956-07-15,JPN,Christchurch (NZL),W,1981-03-22,1981,Asian Records,False,False,False,False,NZL,Christchurch,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,Japan,Asia,Eastern Asia,36.0,138.0
"30,000 Metres",1:29:18.8h,,Toshihiko SEKO,1956-07-15,JPN,Christchurch (NZL),W,1981-03-22,1981,Asian Records,False,False,False,False,NZL,Christchurch,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,Japan,Asia,Eastern Asia,36.0,138.0
High Jump,1.96,,Charmaine WEAVERS,1964-02-27,RSA,Bloemfontein (RSA),M,1981-04-04,1981,U18 World Best Performances,False,False,False,False,RSA,Bloemfontein,Republic of South Africa,Africa,Southern Africa,-29.0,24.0,Republic of South Africa,Africa,Southern Africa,-29.0,24.0
Long Jump,6.91,+1.0,Heike DAUTE,1964-12-16,GDR,Jena (GDR),M,1981-08-09,1981,U18 World Best Performances,False,False,False,False,GDR,Jena,,,,,,,,,,
High Jump,1.96,,Charmaine WEAVERS,1964-02-27,RSA,Bloemfontein (RSA),W,1981-04-04,1981,U18 World Best Performances,False,False,False,False,RSA,Bloemfontein,Republic of South Africa,Africa,Southern Africa,-29.0,24.0,Republic of South Africa,Africa,Southern Africa,-29.0,24.0
"25,000 Metres",1:13:55.8h,,Toshihiko SEKO,1956-07-15,JPN,Christchurch (NZL),M,1981-03-22,1981,Asian Records,False,False,False,False,NZL,Christchurch,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,Japan,Asia,Eastern Asia,36.0,138.0
1000 Metres,2:12.18,,Sebastian COE,1956-09-29,GBR,Oslo (NOR),M,1981-07-11,1981,European Records,False,False,False,False,NOR,Oslo,Kingdom of Norway,Europe,Northern Europe,62.0,10.0,,,,,
"30,000 Metres",1:29:18.8h,,Toshihiko SEKO,1956-07-15,JPN,Christchurch (NZL),M,1981-03-22,1981,Asian Records,False,False,False,False,NZL,Christchurch,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,Japan,Asia,Eastern Asia,36.0,138.0
1000 Metres,2:12.18,,Sebastian COE,1956-09-29,GBR,Oslo (NOR),W,1981-07-11,1981,European Records,False,False,False,False,NOR,Oslo,Kingdom of Norway,Europe,Northern Europe,62.0,10.0,,,,,
Long Jump,6.91,+1.0,Heike DAUTE,1964-12-16,GDR,Jena (GDR),W,1981-08-09,1981,U18 World Best Performances,False,False,False,False,GDR,Jena,,,,,,,,,,
55 Metres Hurdles,6.83,,Renaldo NEHEMIAH,1959-03-24,USA,"Dallas, TX (USA) (i)",M,1982-01-30,1982,World Best Performances,True,False,False,False,USA,"Dallas, TX",United States of America,Americas,North America,38.0,-97.0,United States of America,Americas,North America,38.0,-97.0
55 Metres Hurdles,6.83,,Renaldo NEHEMIAH,1959-03-24,USA,"Dallas, TX (USA) (i)",W,1982-01-30,1982,World Best Performances,True,False,False,False,USA,"Dallas, TX",United States of America,Americas,North America,38.0,-97.0,United States of America,Americas,North America,38.0,-97.0
55 Metres,6.55,,Evelyn ASHFORD,1957-04-15,USA,"New York, NY (USA) (i)",W,1982-02-26,1982,World Best Performances,True,False,False,False,USA,"New York, NY",United States of America,Americas,North America,38.0,-97.0,United States of America,Americas,North America,38.0,-97.0
55 Metres,6.55,,Evelyn ASHFORD,1957-04-15,USA,"New York, NY (USA) (i)",M,1982-02-26,1982,World Best Performances,True,False,False,False,USA,"New York, NY",United States of America,Americas,North America,38.0,-97.0,United States of America,Americas,North America,38.0,-97.0
"20,000 Metres",58:37.2h,,Robert DE CASTELLA,1957-02-27,AUS,Roma (ITA),M,1982-04-17,1982,Oceanian Records,False,False,False,False,ITA,Roma,Italian Republic,Europe,Southern Europe,42.83333333,12.83333333,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
Decathlon,8397,,Torsten VOSS,1963-03-24,GDR,Erfurt (GER),W,1982-07-07,1982,World U20 Records,False,False,False,False,GER,Erfurt,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,,,,,
"20,000 Metres",58:37.2h,,Robert DE CASTELLA,1957-02-27,AUS,Roma (ITA),W,1982-04-17,1982,Oceanian Records,False,False,False,False,ITA,Roma,Italian Republic,Europe,Southern Europe,42.83333333,12.83333333,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
Decathlon,8397,,Torsten VOSS,1963-03-24,GDR,Erfurt (GER),M,1982-07-07,1982,World U20 Records,False,False,False,False,GER,Erfurt,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,,,,,
Triple Jump,17.46,+1.7,Kenneth LORRAWAY,1956-02-06,AUS,London (GBR),W,1982-08-07,1982,Oceanian Records,False,False,False,False,GBR,London,,,,,,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
Triple Jump,17.46,+1.7,Kenneth LORRAWAY,1956-02-06,AUS,London (GBR),M,1982-08-07,1982,Oceanian Records,False,False,False,False,GBR,London,,,,,,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
4x800 Metres Relay,7:03.89,,Great Britain & NI,,GBR,London (GBR),W,1982-08-30,1982,European Records,False,False,False,False,GBR,London,,,,,,,,,,
One Hour,20516,,Robert DE CASTELLA,1957-02-27,AUS,Roma (ITA),W,1982-04-17,1982,Oceanian Records,False,False,False,False,ITA,Roma,Italian Republic,Europe,Southern Europe,42.83333333,12.83333333,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
One Hour,20516,,Robert DE CASTELLA,1957-02-27,AUS,Roma (ITA),M,1982-04-17,1982,Oceanian Records,False,False,False,False,ITA,Roma,Italian Republic,Europe,Southern Europe,42.83333333,12.83333333,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
4x800 Metres Relay,7:03.89,,Great Britain & NI,,GBR,London (GBR),M,1982-08-30,1982,European Records,False,False,False,False,GBR,London,,,,,,,,,,
800 Metres,1:54.68,,Jarmila KRATOCHVÍLOVÁ,1951-01-26,TCH,"Olympiastadion, Helsinki (FIN)",W,1983-08-09,1983,World Championships In Athletics Records,False,False,False,False,FIN,"Olympiastadion, Helsinki",Republic of Finland,Europe,Northern Europe,64.0,26.0,,,,,
400 Metres,47.99,,Jarmila KRATOCHVÍLOVÁ,1951-01-26,TCH,"Olympiastadion, Helsinki (FIN)",W,1983-08-10,1983,World Championships In Athletics Records,False,False,False,False,FIN,"Olympiastadion, Helsinki",Republic of Finland,Europe,Northern Europe,64.0,26.0,,,,,
Long Jump,7.14,+1.1,Heike DAUTE,1964-12-16,GDR,Bratislava (TCH),W,1983-06-04,1983,World U20 Records,False,False,False,False,TCH,Bratislava,,,,,,,,,,
400 Metres,47.99,,Jarmila KRATOCHVÍLOVÁ,1951-01-26,TCH,"Olympiastadion, Helsinki (FIN)",M,1983-08-10,1983,World Championships In Athletics Records,False,False,False,False,FIN,"Olympiastadion, Helsinki",Republic of Finland,Europe,Northern Europe,64.0,26.0,,,,,
800 Metres,1:54.68,,Jarmila KRATOCHVÍLOVÁ,1951-01-26,TCH,"Olympiastadion, Helsinki (FIN)",M,1983-08-09,1983,World Championships In Athletics Records,False,False,False,False,FIN,"Olympiastadion, Helsinki",Republic of Finland,Europe,Northern Europe,64.0,26.0,,,,,
50 Metres,6.31,,Jennifer INNISS,1959-11-21,GUY,"Daly City, CA (USA) (i)",W,1983-02-11,1983,South American Records,True,False,False,False,USA,"Daly City, CA",United States of America,Americas,North America,38.0,-97.0,Co-operative Republic of Guyana,Americas,South America,5.0,-59.0
50 Metres,6.31,,Jennifer INNISS,1959-11-21,GUY,"Daly City, CA (USA) (i)",M,1983-02-11,1983,South American Records,True,False,False,False,USA,"Daly City, CA",United States of America,Americas,North America,38.0,-97.0,Co-operative Republic of Guyana,Americas,South America,5.0,-59.0
Discus Throw,71.32,,Ben PLUCKNETT,1954-04-13,USA,"Eugene, OR (USA)",W,1983-06-04,1983,Nacac Records,False,False,False,False,USA,"Eugene, OR",United States of America,Americas,North America,38.0,-97.0,United States of America,Americas,North America,38.0,-97.0
800 Metres,1:53.28,,Jarmila KRATOCHVÍLOVÁ,1951-01-26,TCH,München (GER),W,1983-07-26,1983,European Records,False,False,False,False,GER,München,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,,,,,
Long Jump,7.14,+1.1,Heike DAUTE,1964-12-16,GDR,Bratislava (TCH),M,1983-06-04,1983,World U20 Records,False,False,False,False,TCH,Bratislava,,,,,,,,,,
800 Metres,1:53.28,,Jarmila KRATOCHVÍLOVÁ,1951-01-26,TCH,München (GER),M,1983-07-26,1983,World Records,False,False,False,False,GER,München,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,,,,,
Discus Throw,71.32,,Ben PLUCKNETT,1954-04-13,USA,"Eugene, OR (USA)",M,1983-06-04,1983,Nacac Records,False,False,False,False,USA,"Eugene, OR",United States of America,Americas,North America,38.0,-97.0,United States of America,Americas,North America,38.0,-97.0
800 Metres,1:53.28,,Jarmila KRATOCHVÍLOVÁ,1951-01-26,TCH,München (GER),W,1983-07-26,1983,World Records,False,False,False,False,GER,München,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,,,,,
800 Metres,1:53.28,,Jarmila KRATOCHVÍLOVÁ,1951-01-26,TCH,München (GER),M,1983-07-26,1983,European Records,False,False,False,False,GER,München,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,,,,,
1000 Metres,2:14.09,,Joaquim CRUZ,1963-03-12,BRA,Nice (FRA),M,1984-08-20,1984,South American Records,False,False,False,False,FRA,Nice,French Republic,Europe,Western Europe,46.0,2.0,Federative Republic of Brazil,Americas,South America,-10.0,-55.0
800 Metres,1:41.77,,Joaquim CRUZ,1963-03-12,BRA,Köln (GER),M,1984-08-26,1984,South American Records,False,False,False,False,GER,Köln,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,Federative Republic of Brazil,Americas,South America,-10.0,-55.0
4x800 Metres Relay,7:50.17,,Soviet Union,,URS,Moskva (URS),M,1984-08-05,1984,World Records,False,False,False,False,URS,Moskva,,,,,,,,,,
1000 Metres,2:14.09,,Joaquim CRUZ,1963-03-12,BRA,Nice (FRA),W,1984-08-20,1984,South American Records,False,False,False,False,FRA,Nice,French Republic,Europe,Western Europe,46.0,2.0,Federative Republic of Brazil,Americas,South America,-10.0,-55.0
4x800 Metres Relay,7:50.17,,Soviet Union,,URS,Moskva (URS),W,1984-08-05,1984,European Records,False,False,False,False,URS,Moskva,,,,,,,,,,
4x400 Metres Relay,2:59.70,,Australia,,AUS,"Memorial Coliseum, Los Angeles, CA (USA)",M,1984-08-11,1984,Oceanian Records,False,False,False,False,USA,"Memorial Coliseum, Los Angeles, CA",United States of America,Americas,North America,38.0,-97.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
High Jump,2.33,,Javier SOTOMAYOR,1967-10-13,CUB,La Habana (CUB),W,1984-05-19,1984,U18 World Best Performances,False,False,False,False,CUB,La Habana,Republic of Cuba,Americas,Caribbean,21.5,-80.0,Republic of Cuba,Americas,Caribbean,21.5,-80.0
"50,000 Metres Race Walk",4:21:44.5h,,Abdelwahib FERGUENE,1958-11-18,ALG,Toulouse (FRA),M,1984-03-25,1984,African Records,False,False,False,False,FRA,Toulouse,French Republic,Europe,Western Europe,46.0,2.0,People's Democratic Republic of Algeria,Africa,Northern Africa,28.0,3.0
2000 Metres,5:32.7h,,Mary DECKER,1958-08-04,USA,"Eugene, OR (USA)",W,1984-08-03,1984,Nacac Records,False,False,False,False,USA,"Eugene, OR",United States of America,Americas,North America,38.0,-97.0,United States of America,Americas,North America,38.0,-97.0
2000 Metres,5:32.7h,,Mary DECKER,1958-08-04,USA,"Eugene, OR (USA)",M,1984-08-03,1984,Nacac Records,False,False,False,False,USA,"Eugene, OR",United States of America,Americas,North America,38.0,-97.0,United States of America,Americas,North America,38.0,-97.0
4x800 Metres Relay,7:50.17,,Soviet Union,,URS,Moskva (URS),M,1984-08-05,1984,European Records,False,False,False,False,URS,Moskva,,,,,,,,,,
800 Metres,1:41.77,,Joaquim CRUZ,1963-03-12,BRA,Köln (GER),W,1984-08-26,1984,South American Records,False,False,False,False,GER,Köln,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,Federative Republic of Brazil,Americas,South America,-10.0,-55.0
4x400 Metres Relay,2:59.70,,Australia,,AUS,"Memorial Coliseum, Los Angeles, CA (USA)",W,1984-08-11,1984,Oceanian Records,False,False,False,False,USA,"Memorial Coliseum, Los Angeles, CA",United States of America,Americas,North America,38.0,-97.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
4x800 Metres Relay,7:50.17,,Soviet Union,,URS,Moskva (URS),W,1984-08-05,1984,World Records,False,False,False,False,URS,Moskva,,,,,,,,,,
High Jump,1.96,,Olga TURCHAK,1967-03-05,URS,Donetsk (URS),W,1984-09-07,1984,U18 World Best Performances,False,False,False,False,URS,Donetsk,,,,,,,,,,
High Jump,1.96,,Olga TURCHAK,1967-03-05,URS,Donetsk (URS),M,1984-09-07,1984,U18 World Best Performances,False,False,False,False,URS,Donetsk,,,,,,,,,,
High Jump,2.33,,Javier SOTOMAYOR,1967-10-13,CUB,La Habana (CUB),M,1984-05-19,1984,U18 World Best Performances,False,False,False,False,CUB,La Habana,Republic of Cuba,Americas,Caribbean,21.5,-80.0,Republic of Cuba,Americas,Caribbean,21.5,-80.0
"50,000 Metres Race Walk",4:21:44.5h,,Abdelwahib FERGUENE,1958-11-18,ALG,Toulouse (FRA),W,1984-03-25,1984,African Records,False,False,False,False,FRA,Toulouse,French Republic,Europe,Western Europe,46.0,2.0,People's Democratic Republic of Algeria,Africa,Northern Africa,28.0,3.0
400 Metres,47.60,,Marita KOCH,1957-02-18,GDR,"Bruce Stadium, Canberra (AUS)",M,1985-10-06,1985,World Records,False,False,False,False,AUS,"Bruce Stadium, Canberra",Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0,,,,,
3000 Metres,8:28.83,,Zola BUDD,1966-05-26,GBR,"Stadio Olimpico, Roma (ITA)",M,1985-09-07,1985,World U20 Records,False,False,False,False,ITA,"Stadio Olimpico, Roma",Italian Republic,Europe,Southern Europe,42.83333333,12.83333333,,,,,
Mile,4:17.57,,Zola BUDD,1966-05-26,GBR,"Letzigrund, Zürich (SUI)",M,1985-08-21,1985,World U20 Records,False,False,False,False,SUI,"Letzigrund, Zürich",Swiss Confederation,Europe,Western Europe,47.0,8.0,,,,,
4x100 Metres Relay,41.37,,German Democratic Republic,,GDR,"Bruce Stadium, Canberra (AUS)",W,1985-10-06,1985,European Records,False,False,False,False,AUS,"Bruce Stadium, Canberra",Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0,,,,,
400 Metres,47.60,,Marita KOCH,1957-02-18,GDR,"Bruce Stadium, Canberra (AUS)",W,1985-10-06,1985,European Records,False,False,False,False,AUS,"Bruce Stadium, Canberra",Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0,,,,,
4x100 Metres Relay,41.37,,German Democratic Republic,,GDR,"Bruce Stadium, Canberra (AUS)",M,1985-10-06,1985,European Records,False,False,False,False,AUS,"Bruce Stadium, Canberra",Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0,,,,,
400 Metres,47.60,,Marita KOCH,1957-02-18,GDR,"Bruce Stadium, Canberra (AUS)",W,1985-10-06,1985,World Records,False,False,False,False,AUS,"Bruce Stadium, Canberra",Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0,,,,,
"20,000 Metres",57:48.7h,,Toshihiko SEKO,1956-07-15,JPN,Odawara (JPN),M,1985-05-11,1985,Asian Records,False,False,False,False,JPN,Odawara,Japan,Asia,Eastern Asia,36.0,138.0,Japan,Asia,Eastern Asia,36.0,138.0
"20,000 Metres",57:48.7h,,Toshihiko SEKO,1956-07-15,JPN,Odawara (JPN),W,1985-05-11,1985,Asian Records,False,False,False,False,JPN,Odawara,Japan,Asia,Eastern Asia,36.0,138.0,Japan,Asia,Eastern Asia,36.0,138.0
Mile,4:17.57,,Zola BUDD,1966-05-26,GBR,"Letzigrund, Zürich (SUI)",W,1985-08-21,1985,World U20 Records,False,False,False,False,SUI,"Letzigrund, Zürich",Swiss Confederation,Europe,Western Europe,47.0,8.0,,,,,
400 Metres,47.60,,Marita KOCH,1957-02-18,GDR,"Bruce Stadium, Canberra (AUS)",M,1985-10-06,1985,European Records,False,False,False,False,AUS,"Bruce Stadium, Canberra",Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0,,,,,
